ID	A_ID	Author_Initials	Title	City	Printed_in	Year	Author_full_name	Author_birth	Author_death	RP_biography
COL_134	A-117	Слепушкин Ф.Н.	Новые досуги сельского жителя. Соч. Федора Слепушкина	СПб.	Рос. Акад.	1840	Слепушкин Федор Никифорович	1788	1848	5-646
COL_135	A-118	Фет А.А.	Лирический пантеон. А.Ф.	М.	Селивановского	1840	Фет Афанасий Афанасьевич	1820	1892	NA
COL_136	A-119	Филимонов П.С.	Опыты П.С. Филимонова	М.	Ун.	1840	Филимонов П.С.	NA	NA	NA
COL_137	A-120	Эртель В.А.	Цветник русской литературы, содержащий в себе избранные образцы из русских классиков, расположенные в систематическом порядке	СПб.	Шмицдорф	1840	Эртель Василий Андреевич	1793	1847	NA
COL_187	NA	NA	Три песни патриота	СПб.	3 Деп. М-ва гос. имуществ	1840	NA	NA	NA	NA
COL_188	A-62	Бобылев Н.И.	Невский альбом, издаваемый Николаем Бобылевым. Год второй. Т. 1.	СПб.	Военн.	1840	Бобылев Николай Иванович	1819	1865	1-294
COL_190	A-121	Алексеев П.Ф.	Лирические стихотворения и сказки	Дерпт	Лаакманна	1840	Алексеев Петр Федорович	1813	1870	1-47
COL_191	A-122	Саблин Е.И.	Полевой цветок: Стихотворения Евгения Саблина	Ярославль	Губ. правления	1840	Саблин Евгений	NA	NA	NA
COL_192	A-123	Любатевич С.	Стихотворения Спиридона Любатевича	М.	Ун.	1840	Любатевич Спиридон	NA	NA	NA
COL_193	A-124	Криксин	Романсы и песни. Соч. Криксина	Киев	Ун.	1840	NA	NA	NA	NA
COL_194	A-125	Маслеников-Какуев	Стихи тайному советнику М.А. Салтыкову, в день его тезоименинства. Соч. Масленикова-Какуева	М.	Селивановского	1840	NA	NA	NA	NA
COL_195	A-126	Рыбников	Стихи Директору Московской Практической Академии Статскому Советнику А.И. Шредеру. Соч. Рыбникова	М.	А. Семена	1840	NA	NA	NA	NA
COL_196	NA	NA	Стихи господам членам Немецкого клуба на 1840 год	М.	Степанова	1840	NA	NA	NA	NA
COL_197	A-59	Орлов А.А.	С радостными чувствами благоговения, жданный 1840 год. Соч. Александра Орлова	М.	Селивановского	1840	Орлов Александр Анфимович	1790	1840	4-446
COL_198	A-127	Ободовский П.Г.	Царский цветник. На русском и немецком языках	СПб.	Глазунова	1840	Ободовский Платон Григорьевич	1803	1864	4-370
COL_205	A-65	Владиславлев В.А.	Утренняя заря Альманах Владиславлева на 1840 год	СПб.	Плюшара	1840	Владиславлев Владимир Андреевич	1806	1856	1-450
COL_215	NA	NA	Песнь русского барда	М.	Ун.	1840	NA	NA	NA	NA
COL_216	A-129	Васильев М.	Провинциал в Москве, или послание к друзьям моим, в стихах. Соч. крестьянина Васильева	М.	Селивановского	1840	Васильев Мартын	NA	NA	NA
