COL_ID	A_ID	Author_Initials	Title	City	Year	Sovremennik	OZ	CO	MN	Telescope	JMNP	SP	BdCH
COL_99	A-97	Медведенко Н.	Вандемекум. Стихотворения Н. Медведенко	М.	1839	1840. Т. 17. С. 67	1839. Т. 7. Отд. 7. С. 23-26	1839. Т. 11. Отд. 4. С. 41-42	NA	NA	NA	NA	NA
COL_100	A-55	Мысовский-Светогорский С.Д.	Мысль о бессмертии: [Стихотворение]	СПб.	1839	1839. Т. 15. С. 61-62	1839. Т. 3. № 5. Отд. 7. С. 156	1839. Т. 8. Отд. 4. С. 148-149	NA	NA	NA	1839. № 125. С. 498	NA
COL_104	A-101	Шахова Е.Н.	Стихотворения Елизаветы Шаховой	СПб.	1839	1840. Т. 17. С. 65-67	1839. Т. 6. Отд. 7. С. 148	1839. Т. 11. Отд. 4. С. 38-41	NA	NA	1840. Ч. 25. Отд. VI. С. 118-119, 122-124	1839. № 254. С. 1015	1839. Т. 37. С. 1-2
COL_105	NA	NA	Новогодник, собрание сочинений в прозе и стихах, современных русских писателей изданный Н. Кукольником	СПб.	1839	1839. Т. 15. С. 59-60	1839. Т. 3. № 4. Отд. 7. С. 1-18	1839. Т. 8. Отд. 4. С. 73-78	NA	NA	NA	1839. № 80. С. 318-319	NA
COL_106	NA	NA	Розовый букет, составленный из лучших цветков русской поэзии: Золотой подарок для юных читателей	СПб.	1839	1839. Т. 14. С. 38-40	1839. Т. 2. № 2. Отд. 7. С. 91-92	1839. Т. 7. Отд. 4. С. 70-71	NA	NA	NA	NA	1839. Т. 32. С. 19
COL_107	NA	NA	Стихотворение на 26е декабря 1839 года	СПб.	1839	NA	NA	NA	NA	NA	NA	NA	NA
COL_108	NA	NA	Гробница на востоке: Полуоткрытая тайна: [Стихотворение]	М.	1839	1840. Т. 17. С. 67	1839. Т. 6. Отд. 7. С. 144	1839. Т. 10. Отд. 4. С. 159-160	NA	NA	NA	NA	NA
COL_110	NA	NA	Стихотворение О.И. Сейсровичу 6 февраля 1839 года	СПб.	1839	NA	NA	NA	NA	NA	NA	NA	NA
COL_111	NA	NA	Стихотворение Графу Льву Григорьевичу Салтыкову в день его ангела 20 февраля 1839	СПб.	1839	NA	NA	NA	NA	NA	NA	NA	NA
COL_113	A-95	Струйский Д.Ю.	Мелодии Д.Н. Струйского для тенора с аккомпанементом пиано-форте	СПб.	1839	NA	NA	NA	NA	NA	NA	NA	NA
COL_114	A-102	Мягков Н.	Опыты в стихах Н. Мягкова	СПб.	1839	NA	1839. Т. 5. Отд. 7. С. 14-18	NA	NA	NA	NA	NA	NA
COL_119	NA	NA	Бородинские акростихи	М.	1839	1840. Т. 17. С. 67	NA	1839. Т. 11. Отд. 4. С. 42	NA	NA	NA	NA	NA
COL_176	A-81	Раевич  И.А.	Досужные вечера. Сочинение Ивана Раевича	М.	1839	NA	1839. Т. 4. Отд. 7. С. 106-108	NA	NA	NA	NA	NA	NA
COL_178	A-105	Харинский Х.	Гимн на восшествие Государя Императора Николая 1-го на Всероссийский престол. Написана Хрисанфом Харинским	СПб.	1839	NA	NA	NA	NA	NA	NA	NA	NA
COL_179	NA	NA	Куплеты, петые в день юбилея 50-ти летней службы И.Ф. Крузенштерна 21 января 1839 года	СПб.	1839	NA	NA	NA	NA	NA	NA	NA	NA
COL_180	A-59	Орлов А.А.	Радостная встреча нового 1839 года, благодетельсвующим россиянам. Соч. Александра Орлова	М.	1839	1839. Т. 14. С. 32-33	1839. Т. 2. № 3. Отд. 7. С. 145-148	NA	NA	NA	NA	NA	NA
COL_181	A-106	Шаховской А.А.	В день заложения Храма Спасителя в Москве, 1839 года, 10 сентября. Соч. Шаховского	М.	1839	NA	NA	NA	NA	NA	NA	NA	NA
COL_183	A-107	Яковлев Я.	Двенадцать басен	СПб.	1839	NA	NA	1839. Т. 11. Отд. 4. С. 115	NA	NA	NA	1839. № 71. С. 283	NA
COL_184	A-111	Данков И.И.	Красное яичко, или Светлодневный подарок Москвичам И.Д. С картинкою	М.	1839	1839. Т. 15. С. 62	1839. Т. 3. № 5. Отд. 7. С. 155-156	1840. Т. 2. Кн. 4. С. 850-851	NA	NA	NA	NA	NA
COL_185	A-111	Данков И.И.	Блины. Соч. И. Д.	М.	1839	1839. Т. 14. С. 32-33	1839. Т. 2. № 3. Отд. 7. С. 144-145	NA	NA	NA	NA	NA	NA
COL_201	A-62	Бобылев Н.И.	Невский альбом. Литературный сборник, издаваемый Николаем Бобылевым	СПб.	1839	NA	1839. Т. 5. Отд. 7. С. 10-14	1839. Т. 10. Отд. 4. С. 60-61	NA	NA	NA	1839. № 212. С. 847	1838. Т. 30. С. 21-27
COL_202	NA	NA	Опыты в Русской Словесности воспитанников Гимназии Белорусского Учебного Округа. Напечатанные по приказанию Г. Министра Народного Просвещения	Вильно	1839	NA	1839. Т. 5. Отд. 7. С. 1-10	1839. Т. 10. Отд. 4. С. 59-60	NA	NA	1839. Ч. 22. № 3. С. 74-82	1839. № 183. С. 731	1839. Т. 36. С. 1-15
COL_210	NA	NA	Одесский Альманах, на 1839 год	Одесса	1839	1839. Т. 14. С. 30-31	1839. Т. 3. № 4. Отд. 7. С. 18-22	1839. Т. 8. Отд. 4. С. 78-82	NA	NA	NA	1839. № 67. С. 266-267	NA
COL_211	NA	NA	Одесский Альманах, на 1840 год	Одесса	1839	1840. Т. 18. С. 145	1840. Т. 9. Отд. 6. С. 9-14	1840. Т. 1. Кн. 4. С. 887-894	NA	NA	1840. Ч. 25. Отд. VI. С. 110-113	1840. № 67. С. 266-267	1840. Т. 38. С. 27-29
COL_124	A-109	Анордист Н.	Альманах на 1840 год / Н. Анордиста	М.	1840	1840. Т. 19. С. 145	1840. Т. 10. Отд. 6. С. 10-12	1840. Т. 2. Кн. 4. С. 851-852	NA	NA	NA	NA	NA
COL_125	A-65	Владиславлев В.А.	Утренняя заря Альманах Владиславлева на 1841 год	СПб.	1840	1841. Т. 21. С. 94-95	1841. Т. 14. Отд 6. С. 1-8	NA	NA	NA	NA	1840. № 268. С. 1069	NA
COL_126	A-110	Давыдов Д.В.	Сочинения в стихах и прозе Дениса Давыдова	СПб.	1840	NA	1840. Т. 12. Отд. 6. С. 4-6; Т. 13. Отд. 5. С. 1-22	1840. Т. 4. Кн. 1. С. 163-169	NA	NA	NA	NA	1840. Т. 41. С. 13-17
COL_127	A-111	Данков И.И.	Могила боярина Артамона Сергеевича Матвеева: [Стихотворение]	М.	1840	1840. Т. 19. С. 143	1840. Т. 9. Отд. 6. С. 39	1840. Т. 2. Кн. 3. С. 612-613; СО. 1840. Т. 5. Кн. 19-20. С. 252-253	NA	NA	NA	NA	NA
COL_128	A-66	Демидов М.А.	Дельные безделки: Стихотворения М. Демидова	М.	1840	1840. Т. 20. С. 97-98	1840. Т. 10. Отд. 6. С. 56	1840. Т. 3. Кн. 2. С. 382-384	NA	NA	NA	NA	1840. Т. 40. С. 10-12
COL_129	A-112	Долгоруков А.И.	Мои счастливейшие минуты в жизни: Стихотворения кн. Александра Ивановича Долгорукого	М.	1840	1840. Т. 20. С. 97-98	1840. Т. 10. Отд. 6. С. 52-53	1840. Т. 3. Кн. 2. С. 379-382	NA	NA	NA	NA	1840. Т. 40. С. 9-10
COL_130	A-113	Козлов И.И.	Собрание стихотворений Ивана Козлова	СПб.	1840	NA	NA	NA	NA	NA	NA	NA	NA
COL_131	A-114	Лермонтов М.Ю.	Стихотворения М. Лермонтова	СПб.	1840	1841. Т. 21. С. 98-99	1840. Т. 13. Отд 6. С. 1-6; 1840. Т. 14. Отд. 5. С. 35-	NA	NA	NA	NA	1840. № 284. С. 1134-1135; № 285. С. 1138-1140	1840. Т. 43. С. 1-13
COL_132	A-115	Некрасов Н.А.	Мечты и звуки. Стихотворения Н.Н.	СПб.	1840	1840. Т. 18. С. 133-134	1840. Т. 9. Отд. 6. С. 8-9	1840. Т. 1. Кн. 4. С. 884	NA	NA	1840. Ч. 25. Отд. VI. С. 118-122	1840. № 59. С. 234-235	1840. Т. 38. С. 29-31
COL_133	A-116	Папкевич А.	Стихотворения Александра Папкевича	СПб.	1840	1840. Т. 19. С. 143	1840. Т. 10. Отд. 6. С. 16-17	1840. Т. 2. Кн. 4. С. 849-850	NA	NA	NA	NA	1840. Т. 40. С. 10
COL_134	A-117	Слепушкин Ф.Н.	Новые досуги сельского жителя. Соч. Федора Слепушкина	СПб.	1840	1840. Т. 19. С. 143	1840. Т. 10. Отд. 6. С. 13-16	1840. Т. 2. Кн. 3. С. 611-612	NA	NA	NA	1840. № 135. С. 539	NA
COL_135	A-118	Фет А.А.	Лирический пантеон. А.Ф.	М.	1840	1841. Т. 21. С. 114	1840. Т. 13. Отд. 6. С. 20-42	NA	NA	NA	NA	NA	1841. Т. 44. С. 1-4
COL_136	A-119	Филимонов П.С.	Опыты П.С. Филимонова	М.	1840	1840. Т. 20. С. 97-98	1840. Т. 12. Отд. 6. С. 51	NA	NA	NA	NA	NA	NA
COL_137	A-120	Эртель В.А.	Цветник русской литературы, содержащий в себе избранные образцы из русских классиков, расположенные в систематическом порядке	СПб.	1840	NA	NA	1840. Т. 5. Кн. 3-4. С. 475-479	NA	NA	NA	NA	1840. Т. 43. С. 13
COL_187	NA	NA	Три песни патриота	СПб.	1840	1840. Т. 19. С. 143	1840. Т. 9. Отд. 6. С. 42	NA	NA	NA	NA	NA	NA
COL_188	A-62	Бобылев Н.И.	Невский альбом, издаваемый Николаем Бобылевым. Год второй. Т. 1.	СПб.	1840	1840. Т. 18. С. 145	1840. Т. 9. Отд. 6. С. 14-15	1840. Т. 2. Кн. 1. С. 192-193	NA	NA	NA	1840. № 108. С. 451	NA
COL_190	A-121	Алексеев П.Ф.	Лирические стихотворения и сказки	Дерпт	1840	NA	NA	1840. Т. 2. Кн. 2. С. 403	NA	NA	NA	NA	NA
COL_191	A-122	Саблин Е.И.	Полевой цветок: Стихотворения Евгения Саблина	Ярославль	1840	1840. Т. 20. С. 97-98	1840. Т. 11. Отд. 6. С. 41	NA	NA	NA	NA	NA	NA
COL_192	A-123	Любатевич С.	Стихотворения Спиридона Любатевича	М.	1840	NA	NA	NA	NA	NA	NA	NA	NA
COL_193	A-124	Криксин	Романсы и песни. Соч. Криксина	Киев	1840	NA	NA	NA	NA	NA	NA	NA	NA
COL_194	A-125	Маслеников-Какуев	Стихи тайному советнику М.А. Салтыкову, в день его тезоименинства. Соч. Масленикова-Какуева	М.	1840	NA	NA	NA	NA	NA	NA	NA	NA
